t_max,t_min,precip,snow,snow_depth,date
30,12,0,0,-999,01/01/2018
46,12,0,0,-999,02/01/2018
50,20,0,0,-999,03/01/2018
52,24,0,0,-999,04/01/2018
62,25,0,0,-999,05/01/2018
60,30,0,0,-999,06/01/2018
55,30,0,0,-999,07/01/2018
56,25,0,0,0,08/01/2018
67,36,0,0,0,09/01/2018
59,44,0.01,0,0,10/01/2018
47,20,0,0,0,11/01/2018
48,29,0,0,0,12/01/2018
52,21,0,0,0,13/01/2018
52,22,0,0,0,14/01/2018
38,16,0.06,1.7,2,15/01/2018
36,0,0,0,1,16/01/2018
52,14,0,0,-999,17/01/2018
63,24,0,0,0,18/01/2018
69,38,0,0,0,19/01/2018
62,31,0,0,0,20/01/2018
32,24,0.67,7.1,7,21/01/2018
48,15,0,0,5,22/01/2018
44,19,0,0,4,23/01/2018
53,15,0,0,4,24/01/2018
53,28,0,0,4,25/01/2018
47,28,0,0,3,26/01/2018
45,20,0,0,3,27/01/2018
50,23,0,0,2,28/01/2018
59,23,0,0,1,29/01/2018
64,35,0,0,-999,30/01/2018
59,24,0,0,-999,31/01/2018
40,22,0.03,0.5,1,01/02/2018
52,23,0,0,0,02/02/2018
58,32,0,0,-999,03/02/2018
50,15,0.02,0.3,-999,04/02/2018
53,20,0.02,0,0,05/02/2018
49,22,-999,-999,0,06/02/2018
53,24,-999,-999,-999,07/02/2018
60,35,0,0,0,08/02/2018
56,24,0,0,0,09/02/2018
24,10,0.3,4.1,4,10/02/2018
46,6,0.04,1.6,2,11/02/2018
32,15,-999,0.1,-999,12/02/2018
57,12,-999,-999,-999,13/02/2018
63,41,0,0,0,14/02/2018
50,29,0,0,0,15/02/2018
41,14,0.04,0.6,-999,16/02/2018
56,31,0,0,0,17/02/2018
66,36,0,0,0,18/02/2018
54,10,0.11,3.2,2,19/02/2018
15,-6,0.34,5.6,6,20/02/2018
19,-4,0,0,4,21/02/2018
30,7,-999,-999,4,22/02/2018
34,9,0.01,0.1,4,23/02/2018
37,16,0.13,2.4,4,24/02/2018
40,20,0,0,3,25/02/2018
52,22,0,0,2,26/02/2018
52,22,0,0,1,27/02/2018
48,25,0,0,-999,28/02/2018
-998,-998,-998,-998,-998,01/03/2018
53,20,0,0,-999,02/03/2018
69,31,0,0,0,03/03/2018
68,30,0,0,0,04/03/2018
67,31,0,0,0,05/03/2018
45,24,0,0,0,06/03/2018
51,20,0,0,0,07/03/2018
52,17,0,0,0,08/03/2018
65,25,0,0,0,09/03/2018
64,40,0,0,0,10/03/2018
57,39,0,0,0,11/03/2018
51,19,0,0,0,12/03/2018
56,22,0,0,0,13/03/2018
57,23,0,0,0,14/03/2018
66,30,0,0,0,15/03/2018
65,35,0,0,0,16/03/2018
52,31,0.32,0.1,0,17/03/2018
61,27,0,0,0,18/03/2018
