t_max,t_min,precip,snow,snow_depth,date
30,12,0.0,0.0,0,2018-01-01
46,12,0.0,0.0,0,2018-01-02
50,20,0.0,0.0,0,2018-01-03
52,24,0.0,0.0,0,2018-01-04
62,25,0.0,0.0,0,2018-01-05
60,30,0.0,0.0,0,2018-01-06
55,30,0.0,0.0,0,2018-01-07
56,25,0.0,0.0,0,2018-01-08
67,36,0.0,0.0,0,2018-01-09
59,44,0.01,0.0,0,2018-01-10
47,20,0.0,0.0,0,2018-01-11
48,29,0.0,0.0,0,2018-01-12
52,21,0.0,0.0,0,2018-01-13
52,22,0.0,0.0,0,2018-01-14
38,16,0.06,1.7,2,2018-01-15
36,0,0.0,0.0,1,2018-01-16
52,14,0.0,0.0,0,2018-01-17
63,24,0.0,0.0,0,2018-01-18
69,38,0.0,0.0,0,2018-01-19
62,31,0.0,0.0,0,2018-01-20
32,24,0.67,7.1,7,2018-01-21
48,15,0.0,0.0,5,2018-01-22
44,19,0.0,0.0,4,2018-01-23
53,15,0.0,0.0,4,2018-01-24
53,28,0.0,0.0,4,2018-01-25
47,28,0.0,0.0,3,2018-01-26
45,20,0.0,0.0,3,2018-01-27
50,23,0.0,0.0,2,2018-01-28
59,23,0.0,0.0,1,2018-01-29
64,35,0.0,0.0,0,2018-01-30
59,24,0.0,0.0,0,2018-01-31
40,22,0.03,0.5,1,2018-02-01
52,23,0.0,0.0,0,2018-02-02
58,32,0.0,0.0,0,2018-02-03
50,15,0.02,0.3,0,2018-02-04
53,20,0.02,0.0,0,2018-02-05
49,22,0.0,0.0,0,2018-02-06
53,24,0.0,0.0,0,2018-02-07
60,35,0.0,0.0,0,2018-02-08
56,24,0.0,0.0,0,2018-02-09
24,10,0.3,4.1,4,2018-02-10
46,6,0.04,1.6,2,2018-02-11
32,15,0.0,0.1,0,2018-02-12
57,12,0.0,0.0,0,2018-02-13
63,41,0.0,0.0,0,2018-02-14
50,29,0.0,0.0,0,2018-02-15
41,14,0.04,0.6,0,2018-02-16
56,31,0.0,0.0,0,2018-02-17
66,36,0.0,0.0,0,2018-02-18
54,10,0.11,3.2,2,2018-02-19
15,-6,0.34,5.6,6,2018-02-20
19,-4,0.0,0.0,4,2018-02-21
30,7,0.0,0.0,4,2018-02-22
34,9,0.01,0.1,4,2018-02-23
37,16,0.13,2.4,4,2018-02-24
40,20,0.0,0.0,3,2018-02-25
52,22,0.0,0.0,2,2018-02-26
52,22,0.0,0.0,1,2018-02-27
48,25,0.0,0.0,0,2018-02-28
0,0,0.0,0.0,0,2018-03-01
53,20,0.0,0.0,0,2018-03-02
69,31,0.0,0.0,0,2018-03-03
68,30,0.0,0.0,0,2018-03-04
67,31,0.0,0.0,0,2018-03-05
45,24,0.0,0.0,0,2018-03-06
51,20,0.0,0.0,0,2018-03-07
52,17,0.0,0.0,0,2018-03-08
65,25,0.0,0.0,0,2018-03-09
64,40,0.0,0.0,0,2018-03-10
57,39,0.0,0.0,0,2018-03-11
51,19,0.0,0.0,0,2018-03-12
56,22,0.0,0.0,0,2018-03-13
57,23,0.0,0.0,0,2018-03-14
66,30,0.0,0.0,0,2018-03-15
65,35,0.0,0.0,0,2018-03-16
52,31,0.32,0.1,0,2018-03-17
61,27,0.0,0.0,0,2018-03-18
54,28,0.25,0.2,0,2018-03-19
45,27,0.36,0.8,0,2018-03-20
51,25,0.0,0.0,0,2018-03-21
60,27,0.0,0.0,0,2018-03-22
72,38,0.0,0.0,0,2018-03-23
70,51,0.0,0.0,0,2018-03-24
64,31,0.0,0.0,0,2018-03-25
62,31,0.0,0.0,0,2018-03-26
56,35,0.1,0.0,0,2018-03-27
47,26,0.61,3.0,0,2018-03-28
47,29,0.39,1.5,1,2018-03-29
47,24,0.19,1.2,0,2018-03-30
63,25,0.01,0.0,0,2018-03-31
59,31,0.0,0.0,0,2018-04-01
49,24,0.02,0.1,0,2018-04-02
74,31,0.0,0.0,0,2018-04-03
65,30,0.0,0.0,0,2018-04-04
62,23,0.0,0.0,0,2018-04-05
65,37,0.0,0.0,0,2018-04-06
58,24,0.38,4.1,4,2018-04-07
50,22,0.02,0.1,0,2018-04-08
62,41,0.0,0.0,0,2018-04-09
57,33,0.04,0.0,0,2018-04-10
69,35,0.0,0.0,0,2018-04-11
76,52,0.0,0.0,0,2018-04-12
76,40,0.0,0.0,0,2018-04-13
69,35,0.01,0.0,0,2018-04-14
57,28,0.0,0.0,0,2018-04-15
59,28,0.0,0.0,0,2018-04-16
65,31,0.0,0.0,0,2018-04-17
69,43,0.0,0.0,0,2018-04-18
56,28,0.0,0.0,0,2018-04-19
61,27,0.0,0.0,0,2018-04-20
58,35,0.03,0.0,0,2018-04-21
46,32,0.37,0.7,0,2018-04-22
64,29,0.0,0.0,0,2018-04-23
71,35,0.0,0.0,0,2018-04-24
68,33,0.48,1.0,0,2018-04-25
66,27,0.0,0.0,0,2018-04-26
66,41,0.0,0.0,0,2018-04-27
72,34,0.0,0.0,0,2018-04-28
73,38,0.0,0.0,0,2018-04-29
81,47,0.0,0.0,0,2018-04-30
76,43,0.0,0.0,0,2018-05-01
67,45,0.0,0.0,0,2018-05-02
57,42,0.24,0.0,0,2018-05-03
53,38,1.44,0.0,0,2018-05-04
69,37,0.02,0.0,0,2018-05-05
75,47,0.0,0.0,0,2018-05-06
75,43,0.0,0.0,0,2018-05-07
82,46,0.0,0.0,0,2018-05-08
82,47,0.0,0.0,0,2018-05-09
76,46,0.0,0.0,0,2018-05-10
84,45,0.0,0.0,0,2018-05-11
84,49,0.0,0.0,0,2018-05-12
64,51,0.44,0.0,0,2018-05-13
57,49,0.28,0.0,0,2018-05-14
64,49,0.65,0.0,0,2018-05-15
71,41,0.01,0.0,0,2018-05-16
81,44,0.0,0.0,0,2018-05-17
78,42,0.0,0.0,0,2018-05-18
75,48,0.51,0.0,0,2018-05-19
53,44,0.39,0.0,0,2018-05-20
51,41,0.42,0.0,0,2018-05-21
75,40,0.01,0.0,0,2018-05-22
77,47,0.0,0.0,0,2018-05-23
74,46,0.04,0.0,0,2018-05-24
82,48,0.0,0.0,0,2018-05-25
86,48,0.0,0.0,0,2018-05-26
86,50,0.0,0.0,0,2018-05-27
80,54,0.0,0.0,0,2018-05-28
79,52,0.07,0.0,0,2018-05-29
73,49,0.0,0.0,0,2018-05-30
82,45,0.24,0.0,0,2018-05-31
87,50,0.0,0.0,0,2018-06-01
87,50,0.0,0.0,0,2018-06-02
79,48,0.0,0.0,0,2018-06-03
